Rank,Team,League,Games,Wins,Losses,WinPct,Runs,RunsAgainst,Rdiff,OPS,HomeRun,StrikeOut,ERA,H9,SO-W
1,BOS,AL,162,108,54,0.667,5.4,4,1.4,0.792,208,1253,3.75,8.1,3.04
2,HOU,AL,162,103,59,0.636,4.9,3.3,1.6,0.754,205,1197,3.11,7.2,3.88
3,NYY,AL,162,100,62,0.617,5.3,4.1,1.1,0.781,267,1421,3.78,8.1,3.31
4,OAK,AL,162,97,65,0.599,5,4.2,0.9,0.764,227,1381,3.81,8,2.61
5,MIL,NL,163,96,67,0.589,4.6,4,0.6,0.747,218,1458,3.73,7.8,2.58
6,CHC,NL,163,95,68,0.583,4.7,4,0.7,0.744,167,1388,3.65,8,2.14
7,LAD,NL,163,92,71,0.564,4.9,3.7,1.2,0.774,235,1436,3.38,7.8,3.71
8,CLE,AL,162,91,71,0.562,5,4,1,0.766,216,1189,3.77,8.3,3.79
9,COL,NL,163,91,72,0.558,4.8,4.6,0.2,0.757,210,1397,4.33,8.5,2.68
10,ATL,NL,162,90,72,0.556,4.7,4.1,0.6,0.742,175,1290,3.75,7.6,2.24
11,TBR,AL,162,90,72,0.556,4.4,4,0.4,0.74,150,1388,3.74,7.7,2.84
12,SEA,AL,162,89,73,0.549,4.2,4.4,-0.2,0.722,176,1221,4.13,8.7,3.32
13,STL,NL,162,88,74,0.543,4.7,4.3,0.4,0.73,205,1380,3.85,8.4,2.25
14,PIT,NL,161,82,79,0.509,4.3,4.3,0,0.725,157,1229,4,8.7,2.69
15,WSN,NL,162,82,80,0.506,4.8,4.2,0.5,0.753,191,1289,4.04,8.2,2.91
16,ARI,NL,162,82,80,0.506,4.3,4,0.3,0.707,176,1460,3.72,8.1,2.77
17,PHI,NL,162,80,82,0.494,4.2,4.5,-0.3,0.707,186,1520,4.14,8.5,2.93
18,LAA,AL,162,80,82,0.494,4.5,4.5,0,0.726,214,1300,4.15,8.5,2.54
19,MIN,AL,162,78,84,0.481,4.6,4.8,-0.2,0.723,166,1328,4.5,8.9,2.4
20,NYM,NL,162,77,85,0.475,4.2,4.4,-0.2,0.701,170,1404,4.07,8.4,2.99
21,SFG,NL,162,73,89,0.451,3.7,4.3,-0.6,0.667,133,1467,3.95,8.5,2.42
22,TOR,AL,162,73,89,0.451,4.4,5.1,-0.8,0.739,217,1387,4.85,9.3,2.36
23,CIN,NL,162,67,95,0.414,4.3,5.1,-0.8,0.729,172,1376,4.63,9.3,2.36
24,TEX,AL,162,67,95,0.414,4.5,5.2,-0.7,0.722,194,1484,4.92,9.5,2.28
25,SDP,NL,162,66,96,0.407,3.8,4.7,-0.9,0.677,162,1523,4.4,8.8,2.7
26,DET,AL,162,64,98,0.395,3.9,4.9,-1,0.68,135,1341,4.58,9,2.47
27,MIA,NL,161,63,98,0.391,3.7,5,-1.4,0.659,128,1384,4.76,8.7,2.06
28,CHW,AL,162,62,100,0.383,4,5.2,-1.2,0.703,182,1594,4.84,8.8,1.93
29,KCR,AL,162,58,104,0.358,3.9,5.1,-1.2,0.697,155,1310,4.94,9.7,2.11
30,BAL,AL,162,47,115,0.29,3.8,5.5,-1.7,0.689,188,1412,5.18,9.8,2.04
